2019-01-31T00:00:00+01:00,2019-01-31T01:00:00+01:00,43.90
2019-01-31T01:00:00+01:00,2019-01-31T02:00:00+01:00,46.84
2019-01-31T02:00:00+01:00,2019-01-31T03:00:00+01:00,46.78
2019-01-31T03:00:00+01:00,2019-01-31T04:00:00+01:00,46.82
2019-01-31T04:00:00+01:00,2019-01-31T05:00:00+01:00,45.08
2019-01-31T05:00:00+01:00,2019-01-31T06:00:00+01:00,48.70
2019-01-31T06:00:00+01:00,2019-01-31T07:00:00+01:00,62.27
2019-01-31T07:00:00+01:00,2019-01-31T08:00:00+01:00,71.70
2019-01-31T08:00:00+01:00,2019-01-31T09:00:00+01:00,78.49
2019-01-31T09:00:00+01:00,2019-01-31T10:00:00+01:00,79.36
2019-01-31T10:00:00+01:00,2019-01-31T11:00:00+01:00,77.96
2019-01-31T11:00:00+01:00,2019-01-31T12:00:00+01:00,71.59
2019-01-31T12:00:00+01:00,2019-01-31T13:00:00+01:00,66.81
2019-01-31T13:00:00+01:00,2019-01-31T14:00:00+01:00,66.22
2019-01-31T14:00:00+01:00,2019-01-31T15:00:00+01:00,66.16
2019-01-31T15:00:00+01:00,2019-01-31T16:00:00+01:00,66.16
2019-01-31T16:00:00+01:00,2019-01-31T17:00:00+01:00,65.35
2019-01-31T17:00:00+01:00,2019-01-31T18:00:00+01:00,66.68
2019-01-31T18:00:00+01:00,2019-01-31T19:00:00+01:00,66.98
2019-01-31T19:00:00+01:00,2019-01-31T20:00:00+01:00,65.40
2019-01-31T20:00:00+01:00,2019-01-31T21:00:00+01:00,59.90
2019-01-31T21:00:00+01:00,2019-01-31T22:00:00+01:00,52.84
2019-01-31T22:00:00+01:00,2019-01-31T23:00:00+01:00,51.36
2019-01-31T23:00:00+01:00,2019-02-01T00:00:00+01:00,47.36
